HHKID,REGION6,HHPARENT,MARRIED,GENDER,FOREIGNB,WAGET1,TASK,Indigenous,MixedFam,NUMFEMPL,FWRDAYS,NFWEEKS,NWWEEKS,MIGRANT,STREAMS,FAMPOV,G01,G03,G04B,G04C,G04D,G04E,G04fx,G04gx,G04H,G04N,NQ01x,G04I,G04J,G04K,G04L,G04M,G04px,NS01,NP01f,NQ03bx,NQ10mx,NQ10lx,NQ10ax,NQ10bx,NQ10cx,NQ10dx,NQ10ex,NQ10fx,NQ10gx,NQ10hx,NQ10ix,NQ10jx,NH05,NH01,NH03,NH02,NH06,NH04,NH10,FY,FWID,currstat,AGE,BLWAGE,C09WEEKS,CROP,D50MTCOD,AdultOtherIndg,CROWDED1,D04,D23,D26,D37,E02,A07,A09,B07,B08,B01,A08,B11,B17,D11,E01x,B02,C10,A21a,A21b,A23a3,A23a5,A23c5,A21c2,B21a,B21b,B21c,B21d,B21e,B21f,B21z,B22b,B23b,B24,FY
2,6,0,1,1,1,7.375000045,2,0,0,1,214,0,11.71428571,0,WESTERN,1,6,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,1,2001,20010967,4,31,0,13.28571429,4,2,0,0,24,1,0,1,5,3,9,1,1,2,1996,16,3,2,0,7,5,1,,1,0,,,0,1,0,0,0,0,0,4,4,2,2011
2,6,0,0,0,1,6.5,1,0,0,1,119,0,5,0,WESTERN,0,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20010970,4,44,0,,1,6,0,0,60,1,0,1,5,3,6,1,1,2,1994,17,3,1,0,7,6,1,1,1,0,,,1,1,0,0,0,0,0,4,3,2,2011
2,5,0,1,0,0,11,2,0,0,1,289,0,4.428571429,0,MIDWEST,0,12,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20010975,4,40,0,1.571428571,4,6,0,0,48,1,0,1,5,3,6,2,2,2,1993,17,3,1,0,7,5,0,0,,,1,1,1,1,0,0,0,0,0,4,4,2,2011
2,1,0,1,0,1,6.5,4,0,1,2,100,0,10.57142857,1,WESTERN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20010986,1,56,0,15.57142857,1,,0,0,50,1,1,1,5,1,12,4,4,7,,38,,4,0,,6,1,1,0,0,,,1,0,0,0,0,0,0,,,1,2011
2,5,0,1,0,0,6.25,4,0,0,1,279,0,5.857142857,0,EASTERN,1,7,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20010987,1,25,0,,4,3,0,0,40,95,1,4,1,1,16,4,4,7,,1,,1,0,1,5,1,,0,0,,,1,0,0,0,0,0,0,2,2,1,2011
2,5,0,0,1,1,7,3,0,1,2,187,0,22,0,WESTERN,1,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011013,4,22,0,1.142857143,5,2,0,1,40,1,0,4,3,3,9,2,2,2,2006,1,3,1,0,4,5,1,,1,0,,,1,1,0,0,0,0,0,4,4,2,2011
2,3,0,1,0,1,10,6,0,0,1,306,0,0,0,MIDWEST,0,10,10,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011020,1,29,0,7,1,,0,0,72,1,1,1,5,1,12,4,4,7,,12,,1,0,1,6,0,0,,,,,1,0,0,0,0,0,0,,,1,2011
2,4,0,1,0,1,7.5,6,0,0,1,262,0,0,0,EASTERN,0,8,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011039,1,48,0,12,1,,0,0,60,1,1,1,2,1,8,4,4,3,,5,,1,0,7,6,0,0,,,,,1,1,0,0,0,0,0,4,4,1,2011
2,6,0,0,1,1,6,6,0,1,4,189,0.428571429,12.42857143,0,EASTERN,1,5,5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011041,4,19,0,2.142857143,2,1,0,0,60,95,0,8,3,3,8,1,1,2,2011,1,3,1,0,7,6,0,,,,,,0,1,0,0,0,0,0,4,4,2,2011
2,6,0,1,0,1,6.75,2,0,0,3,258,0,0,1,EASTERN,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011042,2,29,0,8.857142857,4,5,0,1,36,1,1,1,5,3,6,3,1,2,1999,11,3,1,0,1,6,95,1,,,1,1,1,1,0,0,0,0,0,4,4,2,2011
2,6,0,1,1,1,6.857142857,2,0,1,1,201,0,12.14285714,0,WESTERN,0,6,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011046,2,51,0,1.142857143,2,,0,0,57,1,1,1,5,3,6,2,2,2,1979,33,3,1,0,1,6,1,1,1,0,,,1,1,0,0,0,0,0,4,4,2,2011
